action,change_type,subtype,vendor_action,vendor_status
success,auth,user,authentication,success
failure,auth,user,authentication,failure
success,auth,wireless,client-ip-detected,unknown
failure,auth,wireless,client-deauthentication,unknown
success,auth,vpn,negotiate,success
failure,auth,vpn,negotiate,failure
failure,auth,vpn,negotiate,negotiate_error
failure,auth,vpn,negotiate,esp_error
success,auth,system,login,success
failure,auth,system,login,failed
success,auth,system,logout,success
failure,auth,system,logout,failed
created,network_config,system,add,unknown
created,network_config,system,Add,unknown
deleted,network_config,system,delete,unknown
deleted,network_config,system,Delete,unknown
modified,network_config,system,Edit,unknown
modified,restart,system,shutdown,unknown
modified,restart,system,reboot,unknown
